time,mnvel,errvel,tel,svalue
2453341.779899,-105.27,7.77,het,\nodata
2453341.898484,-118.43,7.25,het,\nodata
2453355.84573,-102.05,7.34,het,\nodata
2453357.85963,-105.27,7.48,het,\nodata
2453358.724097,-87.82,7.11,het,\nodata
2453359.729188,-82.07,8.7,het,\nodata
2453360.84952,-65.85,7.8,het,\nodata
2453365.817387,1.45,7.73,het,\nodata
2453367.81264,-20.41,9.48,het,\nodata
2453369.701315,-90.14,8.57,het,\nodata
2453371.684761,-107.83,8.9,het,\nodata
2453377.785833,-20.51,8.92,het,\nodata
2453379.675805,-3.53,6.78,het,\nodata
2453389.755622,-50.16,7.68,het,\nodata
2453390.763879,-35.52,7.46,het,\nodata
2453391.757235,-19.07,8.15,het,\nodata
2453392.750785,-5.45,7.11,het,\nodata
2453395.738803,2.78,6.97,het,\nodata
2453414.693834,-103.63,10.96,het,\nodata
2453416.683636,-74.1,8.61,het,\nodata
2453665.89269,64.01,4.74,het,\nodata
2453675.986919,6.8,5.07,het,\nodata
2453676.846929,21.68,5.48,het,\nodata
2453678.862452,42.8,5.63,het,\nodata
2453681.843596,51.51,5.06,het,\nodata
2453685.835951,-63.04,25.1,het,\nodata
2453685.837515,-57.7,5.16,het,\nodata
2453691.933851,27.17,5.07,het,\nodata
2453692.834053,39.74,5,het,\nodata
2453694.820769,63.79,5.48,het,\nodata
2453695.817331,61.75,5.81,het,\nodata
2453696.807526,47.54,4.91,het,\nodata
2453697.813712,8.53,5.32,het,\nodata
2453700.809061,-38.81,5.48,het,\nodata
2453708.894418,64.36,6.38,het,\nodata
2453709.886951,60.71,5.85,het,\nodata
2453711.76758,20.98,5.68,het,\nodata
2453712.875847,-26.85,7.1,het,\nodata
2453724.83977,60.73,6.27,het,\nodata
2453730.717661,-28.39,7.05,het,\nodata
2453731.708724,-18.87,6.85,het,\nodata
2453733.706335,16.3,6.9,het,\nodata
2453735.713861,48.56,6.86,het,\nodata
2453739.692156,48.28,6.4,het,\nodata
2453742.68491,-46.27,5.94,het,\nodata
2453751.775752,73.88,6.84,het,\nodata
2453752.761925,74.25,6.79,het,\nodata
2453753.773028,64.34,7.73,het,\nodata
2453754.760139,35.42,6.79,het,\nodata
2453755.751319,-9.88,6.38,het,\nodata
2453757.639021,-39.51,6.53,het,\nodata
2453758.754961,-29.76,6.22,het,\nodata
2453764.7454,62.37,6.78,het,\nodata
2453989.998171,88.56,5.09,het,\nodata
2454020.924198,141.62,5.36,het,\nodata
2454021.921835,158.2,5.52,het,\nodata
2454022.926094,164.55,8.27,het,\nodata
2454028.903039,75.06,5.75,het,\nodata
2454031.882076,104.25,5.64,het,\nodata
2454031.997118,111.67,5.86,het,\nodata
2454035.887008,164.27,6.09,het,\nodata
2454037.876174,185.49,5.35,het,\nodata
2454039.869089,180.04,5.69,het,\nodata
2454040.971815,145.86,5.3,het,\nodata
2454043.860701,95.53,5.43,het,\nodata
2454048.842947,150.59,5.3,het,\nodata
2454048.939538,149.37,7.22,het,\nodata
2454051.843854,187.96,5.64,het,\nodata
2454052.839025,197.86,5.3,het,\nodata
2454053.847354,193.9,6.22,het,\nodata
2454054.832617,170.75,5.14,het,\nodata
2454056.922854,86.05,5.72,het,\nodata
2454060.915198,100.89,5.56,het,\nodata
2454061.912707,128.08,5.65,het,\nodata
2454062.807028,136.95,5.26,het,\nodata
2454063.809422,157.36,4.87,het,\nodata
2454071.890292,91.98,5.58,het,\nodata
2454072.774474,89.84,6.22,het,\nodata
2454073.892958,100.3,5.66,het,\nodata
2454075.757176,129.1,5.57,het,\nodata
2454105.804643,175.94,7.08,het,\nodata
2454109.801302,221.86,6.78,het,\nodata
2454110.690995,223.57,6.45,het,\nodata
2454121.646747,210,7.33,het,\nodata
2454128.729702,122.64,7.65,het,\nodata
2454132.725529,163.95,10.45,het,\nodata
2454133.718796,165.86,6.92,het,\nodata
2454163.637004,202.53,6.48,het,\nodata
2454373.962556,210,8.54,het,\nodata
2454377.93338,277.65,4.6,het,\nodata
2454398.878305,269.02,5.9,het,\nodata
2454419.843012,243.1,5.81,het,\nodata
2454424.82194,314.81,4.42,het,\nodata
2454425.816251,307.27,6.65,het,\nodata
2454475.769793,190.4,7.04,het,\nodata
2454487.651953,153.73,6.93,het,\nodata
2454503.606266,151.66,7.95,het,\nodata
2454520.665744,175.5,6.58,het,\nodata
2454726.967268,61.4,8.31,het,\nodata
2454729.974635,-45.6,6.43,het,\nodata
2454808.884683,8.79,7.32,het,\nodata
2454822.725625,18.4,6.72,het,\nodata
2450418.959317,-38.5,1.3,keck,\nodata
